"range","nsample","dsample","simtype","baseline_random_RMSE","baseline_spatial_RMSE","baseline_surface_RMSE","baseline_AOA","baseline_impfeat","baseline_mtry","coord_random_RMSE","coord_spatial_RMSE","coord_surface_RMSE","coord_AOA","coord_impfeat","coord_mtry","EDF_random_RMSE","EDF_spatial_RMSE","EDF_surface_RMSE","EDF_AOA","EDF_impfeat","EDF_mtry","RFsp_random_RMSE","RFsp_spatial_RMSE","RFsp_surface_RMSE","RFsp_AOA","RFsp_impfeat","RFsp_mtry","RFGLS_surface_RMSE"
40,200,"sregular","complete",1.52917225503812,1.51776907140803,1.4063417657406,98.57,100,3,1.55336490720852,1.47266004800484,1.40250397362013,98.51,84.6293336075439,6,1.55768457978163,1.50080845674293,1.4015284089151,98.47,69.2456134897498,13,1.57996144882598,1.54449229312097,1.43384762171933,99.66,22.4247947112668,152,1.38970084132959
40,200,"random","complete",1.47335015338574,1.3882996757307,1.4264304211879,99.26,100,6,1.38185164843385,1.38361364271787,1.41440345346932,99.32,82.2039900623442,5,1.40974014340257,1.39578600894304,1.41610790333557,99.42,65.8991753079068,13,1.41674287258053,1.43325119236273,1.49023917403242,98.12,15.3080921676189,152,1.42111429846009
40,200,"wclust","complete",1.34887282287793,1.6207236288733,1.45319623326907,81.74,100,2,1.32455454764542,1.68828189834322,1.42653809980794,79.34,79.4978529605484,4,1.35659645079907,1.76815977218042,1.45229658692456,73.95,74.1982725644504,13,1.36365536270078,1.82632850904121,1.48332462423576,55.81,17.02585798642,51,1.47061347535777
40,200,"sclust","complete",1.30707993079588,1.6721448647276,1.57358950747104,64.89,100,3,1.29373094611361,1.70588581342823,1.65117610390243,61.47,88.4760891200922,6,1.26408230479767,1.64460663000396,1.63875531311897,33.1,46.4274892341566,2,1.29604267233642,1.66474737482241,1.77918451753911,22.61,13.8115066672124,48,1.62504203762652
40,200,"sregular","complete",1.67982466745483,1.62498470004978,1.53497050722939,98.81,100,4,1.66810325924338,1.58722319479559,1.52178018486645,99.42,78.4630140130522,8,1.66104232683756,1.5958197160746,1.46396899487748,99.15,66.6049880337794,5,1.67072733577373,1.6505719396812,1.48362983645726,99.4,25.5432425258586,162,1.42161403359502
40,200,"random","complete",1.54740315886498,1.62382451191089,1.47915380358171,98.96,100,4,1.45441781625939,1.55599174465693,1.46816081072718,99.62,73.0231592358687,4,1.55555155227983,1.57442413492167,1.48426383542653,98.85,52.6370740973537,2,1.49599757701677,1.52020705401682,1.46979295087973,99.33,24.2460558640567,103,1.33780536594946
40,200,"wclust","complete",1.45052194702658,1.78423667959016,1.65254161180907,92.61,100,4,1.42961709902353,1.85635117324417,1.62005415748063,81.66,78.7377804185966,4,1.42372717811431,1.86178062039246,1.64942006584952,85.35,59.0902353982721,5,1.35725998855821,1.88009860272236,1.82433261254347,77.76,24.3881398961764,100,1.58996248335828
40,200,"sclust","complete",1.38245919818282,2.18873440682194,1.82716188537703,45.63,100,3,1.35692536361915,2.08274802801834,1.95247215154289,38.7,83.9204094421325,6,1.37685924671013,2.34892531834383,2.33603672636215,36.28,86.3794937766829,13,1.29264383485449,2.35189269642813,1.80385868742976,23.79,47.462134490151,190,1.82401941585898
40,200,"sregular","complete",1.46911023666814,1.45881403623923,1.37784938924575,99.23,100,2,1.49142778327977,1.45335531242055,1.37111917826869,99.76,86.2328970505171,4,1.50602011242338,1.4591718293801,1.35924617154713,99.54,71.1498391405449,10,1.52914435806045,1.51347660841902,1.38165239330331,99.76,42.4577430465504,216,1.33094596208755
40,200,"random","complete",1.43441407694916,1.41378733619213,1.44859422463359,93.28,100,3,1.43005013253839,1.3986691939639,1.44521489128934,96.27,85.9876943756835,4,1.38538969914924,1.37219003076307,1.4440846008774,97.07,60.1670763078142,5,1.40117936539651,1.38921319928234,1.45817805340287,98.31,40.6553087564258,204,1.41778869298968
40,200,"wclust","complete",1.28211728688999,1.43134264607294,1.45020242953272,91.8,100,4,1.31910628419659,1.46895239820642,1.46255157214627,83.27,79.4261527503996,4,1.29630538051129,1.46422818400137,1.49683804717338,82.52,44.6264104346382,8,1.31627757432295,1.47902478815386,1.52379566129493,70.96,21.4216351261969,203,1.42974368509457
40,200,"sclust","complete",1.29852432851293,1.57321057986392,1.57141631615478,48.49,100,2,1.38907071844078,1.48834653312364,1.63247384048912,29.15,59.1615768548372,8,1.36022458693444,1.57837732454245,1.66404543127926,21.35,51.0711078148751,5,1.38750437159099,1.6856048916674,1.61292151639289,19.89,33.3965174336615,192,1.61985642748654
40,200,"sregular","complete",1.78926862101569,1.80356597517967,1.49689234033055,99.83,100,5,1.82756806196204,1.83054161551129,1.51128688197698,99.61,82.0350128528242,2,1.78863393282147,1.78288835190205,1.4798760523427,99.55,71.3508760900002,8,1.76546432274578,1.84495311729204,1.44516627889985,99.76,36.1261663440797,202,1.39304960457364
40,200,"random","complete",1.56859480370207,1.62162351131347,1.58413528343459,97.63,100,5,1.52360104288344,1.56737207776014,1.56420689476657,98.52,88.2024283560478,6,1.54281364920913,1.62194139975231,1.55861261311542,97.63,77.5695387061052,13,1.6073901824541,1.66717105105352,1.61739464704021,98.21,27.5140168714191,102,1.67113694965824
40,200,"wclust","complete",1.38265214565788,1.76380677798494,1.81486161601945,91.24,100,2,1.4131214590469,1.76398414457475,1.95097127924547,80.06,80.9258592562311,2,1.3785690167254,1.65770018254584,2.05331392311566,70.22,42.7436731610881,2,1.39852833167677,1.66179352240193,2.03498289809271,70.77,40.3167002276947,150,1.8480108859016
40,200,"sclust","complete",1.38614893156803,2.6941041177805,1.9307310571148,35.02,100,4,1.30290032946818,2.81836804894968,2.15479498035203,18.11,71.284026169087,2,1.27659820560067,3.33417660113588,2.20477604497755,17.76,45.7467115693158,2,1.29462282922371,2.73914968907493,4.04519659753192,13,18.1611646007052,187,1.98672016001114
40,200,"sregular","complete",1.5643339888759,1.52675862738195,1.5054194437874,99.38,100,3,1.50312639260629,1.45220521472532,1.43316012325236,99.58,79.6234130781686,2,1.51498338348106,1.46329360133906,1.41110128230825,99,61.779277617256,5,1.61426620851046,1.53226355693014,1.43238986612783,98.99,48.0482065811308,202,1.40013421299841
40,200,"random","complete",1.53284147728439,1.56980343984189,1.57910128168737,98.95,100,4,1.55052592289339,1.52690400697155,1.51478032276653,99.56,83.6897081578411,5,1.58879123339982,1.53150345425386,1.47523361305901,99.46,57.9900493036832,8,1.66756079429268,1.55490103563592,1.55029895706531,99.27,12.5552885074047,52,1.4764292703456
40,200,"wclust","complete",1.5093872964946,1.83218802739356,1.56354073563772,80.72,100,2,1.5088090560415,1.95667713298626,1.61241923723652,76.15,73.7563266913745,6,1.43518129139189,1.79720189957789,1.55740495206199,61.56,48.1665885257121,2,1.5190233393797,1.99824238246777,1.72268553467838,50.04,11.9018464468306,51,1.57574159956055
40,200,"sclust","complete",1.33394133377547,1.70647706605486,1.90474510472459,55.2,100,3,1.27682400458209,1.54990978976872,1.88520127250547,37.3,56.6192971484091,4,1.31836296783877,1.59179068774582,1.81895893317792,31.91,30.1246240561818,10,1.31459669246097,1.99752142862541,1.94034696517053,19.94,9.23195283061061,50,1.98161479909531
40,200,"sregular","complete",1.5206712174772,1.52195509888031,1.4105380894448,98.7,100,3,1.4952041385079,1.51370442382,1.40560932031874,98.87,87.8230564227079,4,1.48461329739799,1.50020555969136,1.44823612312982,98.95,74.7175849222127,10,1.52626695357023,1.50945277705925,1.44517359162024,98.88,47.8081073757927,202,1.36935433163929
40,200,"random","complete",1.36908915888659,1.38227808100435,1.43600111627301,99.23,100,5,1.37385287262654,1.39126816749174,1.42973516925717,98.58,88.2612645241385,6,1.44197552076934,1.40454148865121,1.45448073991923,99.07,75.7834428308814,13,1.489523958732,1.49912785602591,1.46181389051238,99,39.7724197159504,104,1.40501723230138
40,200,"wclust","complete",1.36518864889722,1.50567276082676,1.62795998435317,87.61,100,4,1.34895478014859,1.58115267036611,1.66653641805788,81.22,80.0317443891104,2,1.36909152500773,1.56954974459447,1.78069562830637,75.32,47.9650452670031,2,1.31828340458569,1.57897686341726,1.73008428300306,61.39,37.5551490406399,100,1.58013686294364
40,200,"sclust","complete",1.22917574100233,1.44984724156442,1.71021584765467,57.48,100,4,1.24307600778662,1.53193934281842,1.84574722877452,32.48,74.4138756165615,4,1.20327162452773,1.6620099228513,1.98460280252005,28.01,48.1574978973101,5,1.21727315619,1.8256753432477,1.92933997431235,26.93,53.8054796254247,187,1.70670417591605
40,200,"sregular","complete",1.42303976415304,1.40441181905814,1.30942813872631,99.47,100,2,1.44367642846803,1.42348792337967,1.29387640194144,99.73,85.4940589953161,2,1.44865709847927,1.42639277191752,1.28839288322225,99.79,76.7995294463239,8,1.46890387030329,1.45456243383145,1.29885267398678,99.94,34.3961526714379,109,1.24974834142044
40,200,"random","complete",1.46949907794087,1.50399507961943,1.42697233516806,98.07,100,4,1.48659331791975,1.49350079253099,1.40646262116556,98.95,80.4603380089656,2,1.47943207968448,1.50068607869136,1.40060274219802,97.75,64.2089051426556,5,1.54547352877856,1.53918119763612,1.43062097223364,99.48,28.2952161773557,52,1.44424842471693
40,200,"wclust","complete",1.30136273177518,1.41960924858127,1.37318919597722,91.07,100,3,1.32615180893594,1.50815613311211,1.39560188725061,86.47,85.3550183824168,4,1.3287393604535,1.50605816770634,1.42580843090806,71.88,62.3681241628435,5,1.35740495752495,1.60112598455354,1.45333402394419,65.68,53.9691377358231,204,1.37757748616109
40,200,"sclust","complete",1.10755064548122,1.41034130624644,1.53378678155332,40.89,100,4,1.12703631904202,1.54237225239659,1.55735920964504,24.99,90.2757212242684,5,1.10533607306825,1.7329469273611,1.67869217680014,18.09,65.6528814833955,5,1.11734747127024,2.12672948442498,1.68435779890488,16.57,29.7701887687557,48,1.54377176400458
